district_th,subdistrict_th,subdistrict_en,population,lat,lng
อำเภอเมืองสมุทรสาคร,มหาชัย,Maha Chai,38607,13.5497804,100.274131
อำเภอเมืองสมุทรสาคร,ท่าฉลอม,Tha Chalom,7489,13.4919384,100.1871351
อำเภอเมืองสมุทรสาคร,โกรกกราก,Krokkrak,4654,13.5297156,100.2754365
อำเภอเมืองสมุทรสาคร,บ้านบ่อ,Ban Bo,8443,13.4919384,100.1871351
อำเภอเมืองสมุทรสาคร,บางโทรัด,Bang Tho Rat,8432,13.513624,100.1506066
อำเภอเมืองสมุทรสาคร,กาหลง,Ka Long,4538,13.4911405,100.1323764
อำเภอเมืองสมุทรสาคร,นาโคก,Na Khok,3636,13.4762506,100.1013066
อำเภอเมืองสมุทรสาคร,ท่าจีน,Tha Chin,10879,13.5497804,100.274131
อำเภอเมืองสมุทรสาคร,นาดี,Na Di,28318,13.5984793,100.3089904
อำเภอเมืองสมุทรสาคร,ท่าทราย,Tha Sai,32634,13.5720976,100.2722945
อำเภอเมืองสมุทรสาคร,คอกกระบือ,Khok Krabue,10593,13.5878173,100.3242768
อำเภอเมืองสมุทรสาคร,บางน้ำจืด,Bang Nam Chuet,15802,13.5878173,100.3242768
อำเภอเมืองสมุทรสาคร,พันท้ายนรสิงห์,Phanthai Norasing,43687,13.5777724,100.3656284
อำเภอเมืองสมุทรสาคร,โคกขาม,Khok Kham,25122,13.5497804,100.274131
อำเภอเมืองสมุทรสาคร,บ้านเกาะ,Ban Ko,19999,13.513624,100.1506066
อำเภอเมืองสมุทรสาคร,บางกระเจ้า,Bang Krachao,11398,13.5403306,100.2116297
อำเภอเมืองสมุทรสาคร,บางหญ้าแพรก,Bang Ya Phraek,26002,13.5115627,100.2656209
อำเภอเมืองสมุทรสาคร,ชัยมงคล,Chai Mongkhon,4084,13.4919384,100.1871351
อำเภอกระทุ่มแบน,ตลาดกระทุ่มแบน,Talat Krathum Baen,22424,13.6498332,100.2529475
อำเภอกระทุ่มแบน,อ้อมน้อย,Om Noi,53888,13.7013895,100.3143385
อำเภอกระทุ่มแบน,ท่าไม้,Tha Mai,9834,13.6373952,100.2521499
อำเภอกระทุ่มแบน,สวนหลวง,Suan Luang,39180,13.6739044,100.3184851
อำเภอกระทุ่มแบน,บางยาง,Bang Yang,5537,13.6373952,100.2521499
อำเภอกระทุ่มแบน,คลองมะเดื่อ,Khlong Maduea,22318,13.6413115,100.2988416
อำเภอกระทุ่มแบน,หนองนกไข่,Nong Nok Khai,3876,13.6676032,100.1924772
อำเภอกระทุ่มแบน,ดอนไก่ดี,Don Kai Di,8592,13.7013895,100.3143385
อำเภอกระทุ่มแบน,แคราย,Khae Rai,9124,13.643355,100.3245306
อำเภอกระทุ่มแบน,ท่าเสา,Tha Sao,8521,13.6373952,100.2521499
อำเภอบ้านแพ้ว,บ้านแพ้ว,Ban Phaeo,10273,13.6644909,100.131095
อำเภอบ้านแพ้ว,หลักสาม,Lak Sam,16653,13.5988746,100.0863269
อำเภอบ้านแพ้ว,ยกกระบัตร,Yokkrabat,15135,13.5527008,100.0975221
อำเภอบ้านแพ้ว,โรงเข้,Rong Khe,12196,13.6285857,100.1983431
อำเภอบ้านแพ้ว,หนองสองห้อง,Nong Song Hong,8253,13.5888048,100.0527498
อำเภอบ้านแพ้ว,หนองบัว,Nong Bua,6619,13.5988746,100.0863269
อำเภอบ้านแพ้ว,หลักสอง,Lak Song,4522,13.5988746,100.0863269
อำเภอบ้านแพ้ว,เจ็ดริ้ว,Chet Rio,4031,13.6644909,100.131095
อำเภอบ้านแพ้ว,คลองตัน,Khlong Tan,5649,13.5988746,100.0863269
อำเภอบ้านแพ้ว,อำแพง,Amphaeng,7387,13.6057248,100.1983431
อำเภอบ้านแพ้ว,สวนส้ม,Suan Som,5219,13.6285857,100.1983431
อำเภอบ้านแพ้ว,เกษตรพัฒนา,Kaset Phatthana,5134,13.6647315,100.1535196
